district,year,crime_type,count
kodagu,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",6
kodagu,2020,total crimes against children (ipc+ sll),129
kodagu,2020,total ipc crimes against children,60
kodagu,2020,total sll crimes against children,69
kodagu,2021,abetment to suicide of women (sec. 305/306 ipc),3
kodagu,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),53
kodagu,2021,cruelty by husband or his relatives (sec. 498 a ipc),24
kodagu,2021,cyber crimes/information technology act (women centric crimes only),2
kodagu,2021,"dowry prohibition act, 1961",2
kodagu,2021,insult to the modesty of women (sec. 509 ipc),1
kodagu,2021,kidnapping & abduction of women,27
kodagu,2021,protection of children from sexual violence act (girl child victims only),66
kodagu,2021,rape (sec. 376 ipc),8
kodagu,2021,total crime against women (ipc+sll),186
kolar,2020,cyber crimes/information technology act,3
kolar,2020,exposure and abandonment (sec.317 ipc),2
kolar,2020,kidnapping and abduction of children,62
kolar,2020,murder (sec.302 ipc),3
kolar,2020,other ipc crimes,6
kolar,2020,other sll crimes,2
kolar,2020,prohibition of child marriage act,5
kolar,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",138
kolar,2020,total crimes against children (ipc+ sll),152
kolar,2020,total ipc crimes against children,73
kolar,2020,total sll crimes against children,79
kolar,2021,abetment to suicide of women (sec. 305/306 ipc),1
kolar,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),129
kolar,2021,cruelty by husband or his relatives (sec. 498 a ipc),23
kolar,2021,cyber crimes/information technology act (women centric crimes only),3
kolar,2021,dowry deaths (sec. 304b ipc),7
kolar,2021,"dowry prohibition act, 1961",36
kolar,2021,insult to the modesty of women (sec. 509 ipc),1
kolar,2021,kidnapping & abduction of women,52
kolar,2021,protection of children from sexual violence act (girl child victims only),69
kolar,2021,rape (sec. 376 ipc),12
kolar,2021,total crime against women (ipc+sll),333
koppal,2020,cyber crimes/information technology act,4
koppal,2020,exposure and abandonment (sec.317 ipc),4
koppal,2020,kidnapping and abduction of children,40
koppal,2020,murder (sec.302 ipc),1
koppal,2020,other ipc crimes,28
koppal,2020,prohibition of child marriage act,4
koppal,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",142
koppal,2020,total crimes against children (ipc+ sll),152
koppal,2020,total ipc crimes against children,73
koppal,2020,total sll crimes against children,79
koppal,2021,abetment to suicide of women (sec. 305/306 ipc),2
koppal,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),109
koppal,2021,cruelty by husband or his relatives (sec. 498 a ipc),96
koppal,2021,cyber crimes/information technology act (women centric crimes only),4
koppal,2021,dowry deaths (sec. 304b ipc),4
koppal,2021,"dowry prohibition act, 1961",1
koppal,2021,human trafficking (sec. 370 & 370a ipc),1
koppal,2021,insult to the modesty of women (sec. 509 ipc),2
koppal,2021,kidnapping & abduction of women,31
koppal,2021,miscarriage (sec. 313 & 314 ipc),1
koppal,2021,protection of children from sexual violence act (girl child victims only),71
koppal,2021,rape (sec. 376 ipc),8
koppal,2021,total crime against women (ipc+sll),330
mandya,2020,child labour (prohibition & regulation) act,1
mandya,2020,exposure and abandonment (sec.317 ipc),4
mandya,2020,juveniles justice (care and protection of children) act,1
mandya,2020,kidnapping and abduction of children,228
mandya,2020,murder (sec.302 ipc),10
mandya,2020,other ipc crimes,41
mandya,2020,prohibition of child marriage act,10
mandya,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",197
mandya,2020,total crimes against children (ipc+ sll),275
mandya,2020,total ipc crimes against children,164
mandya,2020,total sll crimes against children,111
mandya,2021,abetment to suicide of women (sec. 305/306 ipc),11
mandya,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),342
mandya,2021,cruelty by husband or his relatives (sec. 498 a ipc),92
mandya,2021,dowry deaths (sec. 304b ipc),5
mandya,2021,"dowry prohibition act, 1961",39
mandya,2021,immoral traffic (prevention) act 1956 (women victims cases only),3
mandya,2021,"indecent representation of women (prohibition) act, 1986",1
mandya,2021,insult to the modesty of women (sec. 509 ipc),2
mandya,2021,kidnapping & abduction of women,5
mandya,2021,murder with rape/gang rape,1
mandya,2021,protection of children from sexual violence act (girl child victims only),99
mandya,2021,rape (sec. 376 ipc),10
mandya,2021,total crime against women (ipc+sll),610
mangaluru city,2020,cyber crimes/information technology act,22
mangaluru city,2020,exposure and abandonment (sec.317 ipc),1
mangaluru city,2020,juveniles justice (care and protection of children) act,3
mangaluru city,2020,kidnapping and abduction of children,60
mangaluru city,2020,murder (sec.302 ipc),1
mangaluru city,2020,other ipc crimes,36
mangaluru city,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",134
mangaluru city,2020,total crimes against children (ipc+ sll),148
mangaluru city,2020,total ipc crimes against children,68
mangaluru city,2020,total sll crimes against children,80
mangaluru city,2021,abetment to suicide of women (sec. 305/306 ipc),4
mangaluru city,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),83
mangaluru city,2021,cruelty by husband or his relatives (sec. 498 a ipc),32
mangaluru city,2021,cyber crimes/information technology act (women centric crimes only),8
mangaluru city,2021,dowry deaths (sec. 304b ipc),3
mangaluru city,2021,"dowry prohibition act, 1961",17
mangaluru city,2021,human trafficking (sec. 370 & 370a ipc),3
mangaluru city,2021,immoral traffic (prevention) act 1956 (women victims cases only),2
mangaluru city,2021,insult to the modesty of women (sec. 509 ipc),4
mangaluru city,2021,kidnapping & abduction of women,2
mangaluru city,2021,protection of children from sexual violence act (girl child victims only),67
mangaluru city,2021,rape (sec. 376 ipc),12
mangaluru city,2021,total crime against women (ipc+sll),237
mysuru city,2020,child labour (prohibition & regulation) act,4
mysuru city,2020,cyber crimes/information technology act,5
mysuru city,2020,exposure and abandonment (sec.317 ipc),5
mysuru city,2020,kidnapping and abduction of children,124
mysuru city,2020,murder (sec.302 ipc),1
mysuru city,2020,prohibition of child marriage act,3
mysuru city,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",131
mysuru city,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",1
mysuru city,2020,total crimes against children (ipc+ sll),136
mysuru city,2020,total ipc crimes against children,69
mysuru city,2020,total sll crimes against children,67
mysuru city,2021,abetment to suicide of women (sec. 305/306 ipc),7
mysuru city,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),81
mysuru city,2021,cruelty by husband or his relatives (sec. 498 a ipc),43
mysuru city,2021,cyber crimes/information technology act (women centric crimes only),5
mysuru city,2021,dowry deaths (sec. 304b ipc),3
mysuru city,2021,"dowry prohibition act, 1961",119
mysuru city,2021,insult to the modesty of women (sec. 509 ipc),3
mysuru city,2021,kidnapping & abduction of women,45
mysuru city,2021,protection of children from sexual violence act (girl child victims only),54
mysuru city,2021,rape (sec. 376 ipc),15
mysuru city,2021,total crime against women (ipc+sll),375
mysuru district,2020,child labour (prohibition & regulation) act,2
mysuru district,2020,cyber crimes/information technology act,7
mysuru district,2020,exposure and abandonment (sec.317 ipc),1
mysuru district,2020,infanticide (sec.315 ipc),1
mysuru district,2020,juveniles justice (care and protection of children) act,1
mysuru district,2020,kidnapping and abduction of children,245
mysuru district,2020,murder (sec.302 ipc),4
mysuru district,2020,other ipc crimes,64
mysuru district,2020,prohibition of child marriage act,9
mysuru district,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",270
mysuru district,2020,total crimes against children (ipc+ sll),306
mysuru district,2020,total ipc crimes against children,152
mysuru district,2020,total sll crimes against children,154
mysuru district,2021,abetment to suicide of women (sec. 305/306 ipc),6
mysuru district,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),284
mysuru district,2021,cruelty by husband or his relatives (sec. 498 a ipc),97
mysuru district,2021,cyber crimes/information technology act (women centric crimes only),9
mysuru district,2021,dowry deaths (sec. 304b ipc),8
mysuru district,2021,"dowry prohibition act, 1961",23
mysuru district,2021,immoral traffic (prevention) act 1956 (women victims cases only),7
mysuru district,2021,insult to the modesty of women (sec. 509 ipc),4
mysuru district,2021,kidnapping & abduction of women,1
mysuru district,2021,protection of children from sexual violence act (girl child victims only),135
mysuru district,2021,rape (sec. 376 ipc),22
mysuru district,2021,total crime against women (ipc+sll),596
raichur,2020,child labour (prohibition & regulation) act,6
raichur,2020,cyber crimes/information technology act,6
raichur,2020,exposure and abandonment (sec.317 ipc),1
raichur,2020,juveniles justice (care and protection of children) act,2
raichur,2020,kidnapping and abduction of children,68
raichur,2020,murder (sec.302 ipc),3
raichur,2020,other ipc crimes,36
raichur,2020,prohibition of child marriage act,1
raichur,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",104
raichur,2020,total crimes against children (ipc+ sll),141
raichur,2020,total ipc crimes against children,74
raichur,2020,total sll crimes against children,67
raichur,2021,abetment to suicide of women (sec. 305/306 ipc),7
raichur,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),217
raichur,2021,cruelty by husband or his relatives (sec. 498 a ipc),115
raichur,2021,cyber crimes/information technology act (women centric crimes only),6
raichur,2021,dowry deaths (sec. 304b ipc),6
raichur,2021,"dowry prohibition act, 1961",60
raichur,2021,immoral traffic (prevention) act 1956 (women victims cases only),3
raichur,2021,kidnapping & abduction of women,25
raichur,2021,protection of children from sexual violence act (girl child victims only),52
raichur,2021,rape (sec. 376 ipc),24
raichur,2021,total crime against women (ipc+sll),515
ramanagara,2020,child labour (prohibition & regulation) act,5
ramanagara,2020,cyber crimes/information technology act,5
ramanagara,2020,human trafficking (secs. 370 & 370a ipc) (children only),1
ramanagara,2020,juveniles justice (care and protection of children) act,1
ramanagara,2020,kidnapping and abduction of children,236
ramanagara,2020,murder (sec.302 ipc),2
ramanagara,2020,other sll crimes,1
ramanagara,2020,prohibition of child marriage act,14
ramanagara,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",184
ramanagara,2020,total crimes against children (ipc+ sll),239
ramanagara,2020,total ipc crimes against children,121
ramanagara,2020,total sll crimes against children,118
ramanagara,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),291
ramanagara,2021,cruelty by husband or his relatives (sec. 498 a ipc),46
ramanagara,2021,cyber crimes/information technology act (women centric crimes only),5
ramanagara,2021,dowry deaths (sec. 304b ipc),4
ramanagara,2021,"dowry prohibition act, 1961",68
ramanagara,2021,immoral traffic (prevention) act 1956 (women victims cases only),2
ramanagara,2021,insult to the modesty of women (sec. 509 ipc),1
ramanagara,2021,kidnapping & abduction of women,82
ramanagara,2021,protection of children from sexual violence act (girl child victims only),92
ramanagara,2021,rape (sec. 376 ipc),14
ramanagara,2021,total crime against women (ipc+sll),605
shimoga,2020,abetment of suicide of child (sec.305 ipc),3
shimoga,2020,child labour (prohibition & regulation) act,5
shimoga,2020,cyber crimes/information technology act,5
shimoga,2020,exposure and abandonment (sec.317 ipc),2
shimoga,2020,juveniles justice (care and protection of children) act,3
shimoga,2020,kidnapping and abduction of children,364
shimoga,2020,murder (sec.302 ipc),2
shimoga,2020,other ipc crimes,27
shimoga,2020,other sll crimes,1
shimoga,2020,prohibition of child marriage act,3
shimoga,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",364
shimoga,2020,total crimes against children (ipc+ sll),355
shimoga,2020,total ipc crimes against children,156
shimoga,2020,total sll crimes against children,199
shimoga,2021,abetment to suicide of women (sec. 305/306 ipc),12
shimoga,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),327
shimoga,2021,cruelty by husband or his relatives (sec. 498 a ipc),92
shimoga,2021,cyber crimes/information technology act (women centric crimes only),6
shimoga,2021,dowry deaths (sec. 304b ipc),10
shimoga,2021,"dowry prohibition act, 1961",90
shimoga,2021,immoral traffic (prevention) act 1956 (women victims cases only),2
shimoga,2021,insult to the modesty of women (sec. 509 ipc),1
shimoga,2021,kidnapping & abduction of women,71
shimoga,2021,protection of children from sexual violence act (girl child victims only),182
shimoga,2021,rape (sec. 376 ipc),23
shimoga,2021,total crime against women (ipc+sll),816
tumakuru,2020,attempt to commit murder (sec.307 ipc),10
tumakuru,2020,child labour (prohibition & regulation) act,2
tumakuru,2020,cyber crimes/information technology act,9
tumakuru,2020,exposure and abandonment (sec.317 ipc),3
tumakuru,2020,juveniles justice (care and protection of children) act,4
tumakuru,2020,kidnapping and abduction of children,256
tumakuru,2020,murder (sec.302 ipc),6
tumakuru,2020,other ipc crimes,164
tumakuru,2020,prohibition of child marriage act,8
tumakuru,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",273
tumakuru,2020,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",36
tumakuru,2020,total crimes against children (ipc+ sll),473
tumakuru,2020,total ipc crimes against children,347
tumakuru,2020,total sll crimes against children,126
tumakuru,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),284
tumakuru,2021,cruelty by husband or his relatives (sec. 498 a ipc),65
tumakuru,2021,cyber crimes/information technology act (women centric crimes only),9
tumakuru,2021,dowry deaths (sec. 304b ipc),4
tumakuru,2021,"dowry prohibition act, 1961",114
tumakuru,2021,immoral traffic (prevention) act 1956 (women victims cases only),4
tumakuru,2021,insult to the modesty of women (sec. 509 ipc),2
tumakuru,2021,kidnapping & abduction of women,109
tumakuru,2021,miscarriage (sec. 313 & 314 ipc),1
tumakuru,2021,protection of children from sexual violence act (girl child victims only),101
tumakuru,2021,rape (sec. 376 ipc),19
tumakuru,2021,total crime against women (ipc+sll),712
udupi,2020,cyber crimes/information technology act,10
udupi,2020,foeticide (sec. 315 & 316 ipc),1
udupi,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",2
udupi,2020,juveniles justice (care and protection of children) act,6
udupi,2020,kidnapping and abduction of children,48
udupi,2020,murder (sec.302 ipc),1
udupi,2020,other ipc crimes,1
udupi,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",201
udupi,2020,total crimes against children (ipc+ sll),110
udupi,2020,total ipc crimes against children,29
udupi,2020,total sll crimes against children,81
udupi,2021,abetment to suicide of women (sec. 305/306 ipc),4
udupi,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),72
udupi,2021,cruelty by husband or his relatives (sec. 498 a ipc),30
udupi,2021,cyber crimes/information technology act (women centric crimes only),14
udupi,2021,"dowry prohibition act, 1961",21
udupi,2021,immoral traffic (prevention) act 1956 (women victims cases only),2
udupi,2021,insult to the modesty of women (sec. 509 ipc),4
udupi,2021,kidnapping & abduction of women,8
udupi,2021,protection of children from sexual violence act (girl child victims only),66
udupi,2021,rape (sec. 376 ipc),10
udupi,2021,total crime against women (ipc+sll),231
uttara kannada,2020,cyber crimes/information technology act,2
uttara kannada,2020,exposure and abandonment (sec.317 ipc),3
uttara kannada,2020,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",1
uttara kannada,2020,juveniles justice (care and protection of children) act,3
uttara kannada,2020,kidnapping and abduction of children,128
uttara kannada,2020,murder (sec.302 ipc),3
uttara kannada,2020,other ipc crimes,84
uttara kannada,2020,other sll crimes,2
uttara kannada,2020,prohibition of child marriage act,1
uttara kannada,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",128
uttara kannada,2020,total crimes against children (ipc+ sll),206
uttara kannada,2020,total ipc crimes against children,134
uttara kannada,2020,total sll crimes against children,72
uttara kannada,2021,abetment to suicide of women (sec. 305/306 ipc),6
uttara kannada,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),160
uttara kannada,2021,cruelty by husband or his relatives (sec. 498 a ipc),21
uttara kannada,2021,cyber crimes/information technology act (women centric crimes only),4
uttara kannada,2021,dowry deaths (sec. 304b ipc),1
uttara kannada,2021,"dowry prohibition act, 1961",21
uttara kannada,2021,immoral traffic (prevention) act 1956 (women victims cases only),6
uttara kannada,2021,insult to the modesty of women (sec. 509 ipc),5
uttara kannada,2021,kidnapping & abduction of women,35
uttara kannada,2021,protection of children from sexual violence act (girl child victims only),64
uttara kannada,2021,rape (sec. 376 ipc),11
uttara kannada,2021,total crime against women (ipc+sll),334
vijayanagara,2020,abetment of suicide of child (sec.305 ipc),2
vijayanagara,2020,exposure and abandonment (sec.317 ipc),2
vijayanagara,2020,juveniles justice (care and protection of children) act,1
vijayanagara,2020,kidnapping and abduction of children,79
vijayanagara,2020,other ipc crimes,1
vijayanagara,2020,prohibition of child marriage act,5
vijayanagara,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",124
vijayanagara,2020,total crimes against children (ipc+ sll),101
vijayanagara,2020,total ipc crimes against children,33
vijayanagara,2020,total sll crimes against children,68
vijayanagara,2021,abetment to suicide of women (sec. 305/306 ipc),1
vijayanagara,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),81
vijayanagara,2021,cruelty by husband or his relatives (sec. 498 a ipc),57
vijayanagara,2021,dowry deaths (sec. 304b ipc),1
vijayanagara,2021,"dowry prohibition act, 1961",30
vijayanagara,2021,insult to the modesty of women (sec. 509 ipc),1
vijayanagara,2021,kidnapping & abduction of women,16
vijayanagara,2021,murder with rape/gang rape,1
vijayanagara,2021,protection of children from sexual violence act (girl child victims only),62
vijayanagara,2021,rape (sec. 376 ipc),7
vijayanagara,2021,total crime against women (ipc+sll),257
vijayapura,2020,cyber crimes/information technology act,9
vijayapura,2020,exposure and abandonment (sec.317 ipc),3
vijayapura,2020,kidnapping and abduction of children,70
vijayapura,2020,murder (sec.302 ipc),3
vijayapura,2020,other ipc crimes,4
vijayapura,2020,prohibition of child marriage act,14
vijayapura,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",106
vijayapura,2020,total crimes against children (ipc+ sll),156
vijayapura,2020,total ipc crimes against children,80
vijayapura,2020,total sll crimes against children,76
vijayapura,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),140
vijayapura,2021,cruelty by husband or his relatives (sec. 498 a ipc),107
vijayapura,2021,cyber crimes/information technology act (women centric crimes only),9
vijayapura,2021,dowry deaths (sec. 304b ipc),3
vijayapura,2021,"dowry prohibition act, 1961",8
vijayapura,2021,immoral traffic (prevention) act 1956 (women victims cases only),1
vijayapura,2021,insult to the modesty of women (sec. 509 ipc),2
vijayapura,2021,kidnapping & abduction of women,57
vijayapura,2021,miscarriage (sec. 313 & 314 ipc),4
vijayapura,2021,protection of children from sexual violence act (girl child victims only),53
vijayapura,2021,rape (sec. 376 ipc),20
vijayapura,2021,total crime against women (ipc+sll),404
yadgiri,2020,child labour (prohibition & regulation) act,1
yadgiri,2020,cyber crimes/information technology act,2
yadgiri,2020,exposure and abandonment (sec.317 ipc),1
yadgiri,2020,kidnapping and abduction of children,43
yadgiri,2020,murder (sec.302 ipc),1
yadgiri,2020,other ipc crimes,9
yadgiri,2020,prohibition of child marriage act,3
yadgiri,2020,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",92
yadgiri,2020,total crimes against children (ipc+ sll),85
yadgiri,2020,total ipc crimes against children,33
yadgiri,2020,total sll crimes against children,52
yadgiri,2021,assault on women with intent to outrage her modesty (sec. 354 ipc),97
yadgiri,2021,cruelty by husband or his relatives (sec. 498 a ipc),32
yadgiri,2021,cyber crimes/information technology act (women centric crimes only),2
yadgiri,2021,dowry deaths (sec. 304b ipc),1
yadgiri,2021,"dowry prohibition act, 1961",20
yadgiri,2021,insult to the modesty of women (sec. 509 ipc),1
yadgiri,2021,kidnapping & abduction of women,19
yadgiri,2021,protection of children from sexual violence act (girl child victims only),46
yadgiri,2021,rape (sec. 376 ipc),15
yadgiri,2021,total crime against women (ipc+sll),233
bagalkot,2022,cyber crimes/information technology act,6
bagalkot,2022,exposure and abandonment (sec.317 ipc),10
bagalkot,2022,kidnapping and abduction of children,200
bagalkot,2022,murder (sec.302 ipc),2
bagalkot,2022,prohibition of child marriage act,72
bagalkot,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",242
bagalkot,2022,total crimes against children (ipc+ sll),246
bagalkot,2022,total ipc crimes against children,80
bagalkot,2022,total sll crimes against children,166
bagalkot,2023,abetment to suicide of women (sec. 305/306 ipc),18
bagalkot,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),318
bagalkot,2023,cruelty by husband or his relatives (sec. 498 a ipc),68
bagalkot,2023,cyber crimes/information technology act (women centric crimes only),6
bagalkot,2023,dowry deaths (sec. 304b ipc),4
bagalkot,2023,"dowry prohibition act, 1961",58
bagalkot,2023,kidnapping & abduction of women,56
bagalkot,2023,protection of children from sexual violence act (girl child victims only),84
bagalkot,2023,rape (sec. 376 ipc),24
bagalkot,2023,total crime against women (ipc+sll),636
ballari,2022,child labour (prohibition & regulation) act,8
ballari,2022,cyber crimes/information technology act,10
ballari,2022,exposure and abandonment (sec.317 ipc),2
ballari,2022,juveniles justice (care and protection of children) act,10
ballari,2022,kidnapping and abduction of children,74
ballari,2022,murder (sec.302 ipc),4
ballari,2022,other ipc crimes,6
ballari,2022,prohibition of child marriage act,8
ballari,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",164
ballari,2022,total crimes against children (ipc+ sll),204
ballari,2022,total ipc crimes against children,86
ballari,2022,total sll crimes against children,118
ballari,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),162
ballari,2023,cruelty by husband or his relatives (sec. 498 a ipc),130
ballari,2023,cyber crimes/information technology act (women centric crimes only),4
ballari,2023,dowry deaths (sec. 304b ipc),2
ballari,2023,"dowry prohibition act, 1961",90
ballari,2023,immoral traffic (prevention) act 1956 (women victims cases only),2
ballari,2023,kidnapping & abduction of women,56
ballari,2023,protection of children from sexual violence act (girl child victims only),82
ballari,2023,rape (sec. 376 ipc),18
ballari,2023,total crime against women (ipc+sll),546
belagavi city,2022,abetment of suicide of child (sec.305 ipc),2
belagavi city,2022,attempt to commit murder (sec.307 ipc),6
belagavi city,2022,cyber crimes/information technology act,12
belagavi city,2022,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",2
belagavi city,2022,kidnapping and abduction of children,136
belagavi city,2022,murder (sec.302 ipc),8
belagavi city,2022,other ipc crimes,68
belagavi city,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",112
belagavi city,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",6
belagavi city,2022,total crimes against children (ipc+ sll),228
belagavi city,2022,total ipc crimes against children,160
belagavi city,2022,total sll crimes against children,68
belagavi city,2023,abetment to suicide of women (sec. 305/306 ipc),14
belagavi city,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),86
belagavi city,2023,cruelty by husband or his relatives (sec. 498 a ipc),176
belagavi city,2023,cyber crimes/information technology act (women centric crimes only),14
belagavi city,2023,dowry deaths (sec. 304b ipc),4
belagavi city,2023,"dowry prohibition act, 1961",4
belagavi city,2023,human trafficking (sec. 370 & 370a ipc),2
belagavi city,2023,immoral traffic (prevention) act 1956 (women victims cases only),6
belagavi city,2023,insult to the modesty of women (sec. 509 ipc),2
belagavi city,2023,kidnapping & abduction of women,34
belagavi city,2023,protection of children from sexual violence act (girl child victims only),56
belagavi city,2023,rape (sec. 376 ipc),12
belagavi city,2023,total crime against women (ipc+sll),410
belagavi district,2022,cyber crimes/information technology act,28
belagavi district,2022,exposure and abandonment (sec.317 ipc),6
belagavi district,2022,kidnapping and abduction of children,166
belagavi district,2022,murder (sec.302 ipc),14
belagavi district,2022,other ipc crimes,22
belagavi district,2022,prohibition of child marriage act,38
belagavi district,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",506
belagavi district,2022,total crimes against children (ipc+ sll),528
belagavi district,2022,total ipc crimes against children,208
belagavi district,2022,total sll crimes against children,320
belagavi district,2023,abetment to suicide of women (sec. 305/306 ipc),22
belagavi district,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),552
belagavi district,2023,cruelty by husband or his relatives (sec. 498 a ipc),254
belagavi district,2023,cyber crimes/information technology act (women centric crimes only),28
belagavi district,2023,dowry deaths (sec. 304b ipc),6
belagavi district,2023,"dowry prohibition act, 1961",34
belagavi district,2023,immoral traffic (prevention) act 1956 (women victims cases only),2
belagavi district,2023,kidnapping & abduction of women,148
belagavi district,2023,protection of children from sexual violence act (girl child victims only),252
belagavi district,2023,rape (sec. 376 ipc),44
belagavi district,2023,total crime against women (ipc+sll),1342
bengaluru city,2022,abetment of suicide of child (sec.305 ipc),6
bengaluru city,2022,attempt to commit murder (sec.307 ipc),6
bengaluru city,2022,child labour (prohibition & regulation) act,18
bengaluru city,2022,cyber crimes/information technology act,272
bengaluru city,2022,exposure and abandonment (sec.317 ipc),34
bengaluru city,2022,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",6
bengaluru city,2022,juveniles justice (care and protection of children) act,148
bengaluru city,2022,kidnapping and abduction of children,5300
bengaluru city,2022,murder (sec.302 ipc),18
bengaluru city,2022,other ipc crimes,114
bengaluru city,2022,other sll crimes,4
bengaluru city,2022,prohibition of child marriage act,22
bengaluru city,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",1862
bengaluru city,2022,"simple hurt (sec.323 r/w ipc,324,332,353,327,328,330 ipc)",10
bengaluru city,2022,total crimes against children (ipc+ sll),3156
bengaluru city,2022,total ipc crimes against children,1966
bengaluru city,2022,total sll crimes against children,1190
bengaluru city,2023,abetment to suicide of women (sec. 305/306 ipc),174
bengaluru city,2023,acid attack (sec. 326a ipc),10
bengaluru city,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),1514
bengaluru city,2023,attempt to acid attack (sec. 326b ipc),4
bengaluru city,2023,cruelty by husband or his relatives (sec. 498 a ipc),1168
bengaluru city,2023,cyber crimes/information technology act (women centric crimes only),146
bengaluru city,2023,dowry deaths (sec. 304b ipc),58
bengaluru city,2023,"dowry prohibition act, 1961",1928
bengaluru city,2023,human trafficking (sec. 370 & 370a ipc),14
bengaluru city,2023,immoral traffic (prevention) act 1956 (women victims cases only),310
bengaluru city,2023,insult to the modesty of women (sec. 509 ipc),58
bengaluru city,2023,kidnapping & abduction of women,1226
bengaluru city,2023,protection of children from sexual violence act (girl child victims only),936
bengaluru city,2023,rape (sec. 376 ipc),302
bengaluru city,2023,total crime against women (ipc+sll),7848
bengaluru district,2022,child labour (prohibition & regulation) act,4
bengaluru district,2022,cyber crimes/information technology act,32
bengaluru district,2022,exposure and abandonment (sec.317 ipc),4
bengaluru district,2022,juveniles justice (care and protection of children) act,4
bengaluru district,2022,kidnapping and abduction of children,482
bengaluru district,2022,murder (sec.302 ipc),8
bengaluru district,2022,other ipc crimes,2
bengaluru district,2022,prohibition of child marriage act,10
bengaluru district,2022,"protection of children from sexual offences act (pocso) r/w sec.376,354, 509 ipc)",412
bengaluru district,2022,total crimes against children (ipc+ sll),752
bengaluru district,2022,total ipc crimes against children,496
bengaluru district,2022,total sll crimes against children,256
bengaluru district,2023,abetment to suicide of women (sec. 305/306 ipc),30
bengaluru district,2023,assault on women with intent to outrage her modesty (sec. 354 ipc),312
bengaluru district,2023,cruelty by husband or his relatives (sec. 498 a ipc),298
bengaluru district,2023,cyber crimes/information technology act (women centric crimes only),32
bengaluru district,2023,dowry deaths (sec. 304b ipc),28
bengaluru district,2023,"dowry prohibition act, 1961",68
bengaluru district,2023,immoral traffic (prevention) act 1956 (women victims cases only),10
bengaluru district,2023,insult to the modesty of women (sec. 509 ipc),4
bengaluru district,2023,kidnapping & abduction of women,388
bengaluru district,2023,protection of children from sexual violence act (girl child victims only),206
bengaluru district,2023,rape (sec. 376 ipc),42
bengaluru district,2023,total crime against women (ipc+sll),1418
bidar,2022,cyber crimes/information technology act,14
bidar,2022,exposure and abandonment (sec.317 ipc),4
bidar,2022,"grievous hurt (sec.325, 32,326a, 326b,329,331, 333, 335 ipc)",2
